Player,Valverde_Score,Top_3_Profiles,Top_3_Ratings,Number_of_High_Ratings,All_High_Rating_Profiles
Tommaso Augello,92.43,"Overlapping_Runner, Sentinel_Fullback, Advanced_Wingback","94.6, 94.0, 88.7",3,"Sentinel_Fullback, Advanced_Wingback, Overlapping_Runner"
Aarón Martín,92.17,"Sentinel_Fullback, Overlapping_Runner, Advanced_Wingback","99.0, 91.8, 85.7",3,"Sentinel_Fullback, Advanced_Wingback, Overlapping_Runner"
Sam Beukema,92.17,"Guardian, Deep_Distributor, Enforcer","97.0, 92.0, 87.5",3,"Guardian, Deep_Distributor, Enforcer"
Daniel Muñoz,92.1,"Overlapping_Runner, Sentinel_Fullback, Advanced_Wingback","97.5, 94.5, 84.3",3,"Sentinel_Fullback, Advanced_Wingback, Overlapping_Runner"
Noussair Mazraoui,91.73,"Sentinel_Fullback, Overlapping_Runner, Advanced_Wingback","96.7, 94.4, 84.1",3,"Sentinel_Fullback, Advanced_Wingback, Overlapping_Runner"
Mario Gila,91.73,"Guardian, Enforcer, Deep_Distributor","99.0, 89.7, 86.5",3,"Guardian, Deep_Distributor, Enforcer"
Morten Frendrup,90.87,"Pivot_Master, Box_to_Box, Space_Invader","99.0, 87.8, 85.8",3,"Space_Invader, Pivot_Master, Box_to_Box"
Kenny Lala,90.53,"Overlapping_Runner, Sentinel_Fullback, Advanced_Wingback","92.6, 90.0, 89.0",3,"Sentinel_Fullback, Advanced_Wingback, Overlapping_Runner"
Adrien Truffert,90.0,"Overlapping_Runner, Advanced_Wingback, Sentinel_Fullback","91.9, 90.9, 87.2",3,"Sentinel_Fullback, Advanced_Wingback, Overlapping_Runner"
Andrey Santos,89.83,"Pivot_Master, Box_to_Box, Space_Invader","95.5, 87.8, 86.2",4,"Space_Invader, Pivot_Master, Maestro, Box_to_Box"
Diogo Dalot,89.8,"Sentinel_Fullback, Advanced_Wingback, Overlapping_Runner","95.8, 87.1, 86.5",3,"Sentinel_Fullback, Advanced_Wingback, Overlapping_Runner"
Pedro Porro,89.73,"Overlapping_Runner, Sentinel_Fullback, Advanced_Wingback","99.0, 89.5, 80.7",3,"Sentinel_Fullback, Advanced_Wingback, Overlapping_Runner"
Milos Kerkez,89.7,"Overlapping_Runner, Advanced_Wingback, Sentinel_Fullback","93.7, 89.6, 85.8",3,"Sentinel_Fullback, Advanced_Wingback, Overlapping_Runner"
Jan Paul van Hecke,89.5,"Deep_Distributor, Guardian, Enforcer","99.0, 86.2, 83.3",3,"Guardian, Deep_Distributor, Enforcer"
Joshua Kimmich,89.47,"Maestro, Box_to_Box, Pivot_Master","99.0, 84.8, 84.6",3,"Pivot_Master, Maestro, Box_to_Box"
Himad Abdelli,89.43,"Box_to_Box, Space_Invader, Maestro","95.4, 89.1, 83.8",4,"Space_Invader, Pivot_Master, Maestro, Box_to_Box"
Gideon Mensah,89.43,"Overlapping_Runner, Sentinel_Fullback, Advanced_Wingback","97.2, 88.0, 83.1",3,"Sentinel_Fullback, Advanced_Wingback, Overlapping_Runner"
Tijjani Reijnders,89.37,"Box_to_Box, Space_Invader, Diez","93.7, 89.0, 85.4",3,"Diez, Space_Invader, Box_to_Box"
Clément Akpa,89.27,"Enforcer, Guardian, Deep_Distributor","94.7, 88.1, 85.0",3,"Guardian, Deep_Distributor, Enforcer"
Thilo Kehrer,89.23,"Enforcer, Guardian, Deep_Distributor","95.7, 87.6, 84.4",3,"Guardian, Deep_Distributor, Enforcer"
Achraf Hakimi,89.2,"Advanced_Wingback, Overlapping_Runner, Sentinel_Fullback","99.0, 87.6, 81.0",3,"Sentinel_Fullback, Advanced_Wingback, Overlapping_Runner"
Amir Rrahmani,89.17,"Deep_Distributor, Guardian, Enforcer","91.3, 89.9, 86.3",3,"Guardian, Deep_Distributor, Enforcer"
Adrien Thomasson,89.13,"Space_Invader, Diez, Box_to_Box","99.0, 84.2, 84.2",4,"Diez, Space_Invader, Pivot_Master, Box_to_Box"
Nicolò Rovella,89.03,"Box_to_Box, Pivot_Master, Maestro","92.4, 91.3, 83.4",3,"Pivot_Master, Maestro, Box_to_Box"
William Saliba,88.97,"Guardian, Deep_Distributor, Enforcer","94.2, 88.7, 84.0",3,"Guardian, Deep_Distributor, Enforcer"
Marc Guéhi,88.23,"Guardian, Enforcer, Deep_Distributor","95.9, 85.7, 83.1",3,"Guardian, Deep_Distributor, Enforcer"
Federico Valverde,88.13,"Maestro, Pivot_Master, Box_to_Box","91.2, 87.9, 85.3",3,"Pivot_Master, Maestro, Box_to_Box"
Marten de Roon,88.0,"Maestro, Pivot_Master, Box_to_Box","94.0, 88.8, 81.2",3,"Pivot_Master, Maestro, Box_to_Box"
Rayan Aït-Nouri,87.9,"Sentinel_Fullback, Advanced_Wingback, Overlapping_Runner","94.3, 87.0, 82.4",3,"Sentinel_Fullback, Advanced_Wingback, Overlapping_Runner"
Sergi Cardona,87.9,"Overlapping_Runner, Sentinel_Fullback, Advanced_Wingback","98.7, 84.0, 81.0",3,"Sentinel_Fullback, Advanced_Wingback, Overlapping_Runner"
Evann Guessand,87.8,"Falso_Nueve, Aerial_Dominator, Lethal_Striker","93.8, 86.3, 83.3",3,"Falso_Nueve, Aerial_Dominator, Lethal_Striker"
Pervis Estupiñán,87.8,"Overlapping_Runner, Sentinel_Fullback, Advanced_Wingback","91.2, 90.1, 82.1",3,"Sentinel_Fullback, Advanced_Wingback, Overlapping_Runner"
Melih Kabasakal,87.73,"Box_to_Box, Pivot_Master, Maestro","99.0, 82.1, 82.1",3,"Pivot_Master, Maestro, Box_to_Box"
Mitchell Weiser,87.7,"Advanced_Wingback, Overlapping_Runner, Sentinel_Fullback","93.8, 89.0, 80.3",3,"Sentinel_Fullback, Advanced_Wingback, Overlapping_Runner"
Tyrick Mitchell,87.63,"Sentinel_Fullback, Overlapping_Runner, Advanced_Wingback","95.4, 86.1, 81.4",3,"Sentinel_Fullback, Advanced_Wingback, Overlapping_Runner"
